44,tự_tử
69,quan_hệ
420,cần_sa

tui,tôi
toy,tôi
toi,tôi
tớ,tôi

mik,mình
mk,mình
mih,mình

bn,bạn
b,bạn
bạnn,bạn

ae,anh_em
ace,anh_chị_em

ng,người
nguoi,người

mn,mọi_người
mng,mọi_người
mọing,mọi_người

vk,vợ
ck,chồng
ny,người_yêu
nyc,người_yêu_cũ

ko,không
k,không
kh,không
hok,không
khong,không
k0,không
khum,không
hem,không
hong,không
hông,không
khg,không

dc,được
đc,được
dk,được
đk,được

iu,yêu
yeu,yêu

ak,à
a,à
ah,à

uk,ừ
uh,ừ
uhm,ừ
um,ừ

nx,nhận_xét
rv,đánh_giá
review,đánh_giá

trc,trước
truoc,trước

vs,với
voi,với

nt,nhắn_tin
ntin,nhắn_tin
ib,nhắn_tin
inb,nhắn_tin

rep,trả_lời
trl,trả_lời

cmt,bình_luận
cmnt,bình_luận
bl,bình_luận

fb,facebook
insta,instagram
tt,tiktok

acc,tài_khoản
nick,tài_khoản

ad,quản_trị
admin,quản_trị
mod,quản_trị

bt,biết
bik,biết
biet,biết

ntn,như_thế_nào
nnao,như_thế_nào

tn,thế_nào

lol,cười
haha,cười
hihi,cười
kkk,cười

vcl,rất
vl,rất
vkl,rất
vc,rất
vãi,rất

đm,đm
dm,đm
dcm,đcm
dcmm,đcm

clm,clm
cc,cc
vl,vl
vcl,vcl
